Establishment,Order_Number,Order_Date,Clean_Product_Name,Clean_Class,Total_Sales_Actual,Net_Sales_Actual,Product_Quantity,Total_Product_Tax,Eat_In_Or_Take_Away,Product Type
Trafford - Zara,700000001246674724,2025-10-18T16:37:00.000000,Medium Cone,Gelato Medium,10.00,10.00,2,2.00000000,Eat In,Gelato
Trafford - Zara,700000001246679587,2025-10-18T16:38:00.000000,Medium Cup,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Trafford - Zara,700000001246682313,2025-10-18T16:38:00.000000,Dubai Chocolate Stick,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Trafford - Zara,700000001246684235,2025-10-18T16:38:00.000000,Medium Cup,Gelato Medium,5.42,5.42,1,1.08000000,Eat In,Gelato
Trafford - Zara,700000001246684235,2025-10-18T16:38:00.000000,Strawberry Pot Base,,7.50,7.50,1,0.00000000,Eat In,Other
Trafford - Zara,700000001246686676,2025-10-18T16:37:00.000000,Dubai Chocolate Stick,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Trafford - Zara,700000001246690428,2025-10-18T16:40:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246690831,2025-10-18T16:39:00.000000,Small Cone,Gelato Small,9.17,9.17,2,1.83000000,Eat In,Gelato
Trafford - Zara,700000001246691395,2025-10-18T16:40:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246693420,2025-10-18T16:41:00.000000,Large Cup,Gelato Large,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246697533,2025-10-18T16:41:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246699430,2025-10-18T16:42:00.000000,Coke,Soft Drinks,2.46,2.46,1,0.49000000,Eat In,Other
Trafford - Zara,700000001246703827,2025-10-18T16:41:00.000000,Small Cone,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Trafford - Zara,700000001246706687,2025-10-18T16:43:00.000000,Dubai Chocolate Sundae Shake,Shakes,10.50,10.50,1,0.00000000,Eat In,Other
Trafford - Zara,700000001246709062,2025-10-18T16:43:00.000000,Snowberry,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246712242,2025-10-18T16:43:00.000000,Medium Cone,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Trafford - Zara,700000001246715593,2025-10-18T16:45:00.000000,Small Cone,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Trafford - Zara,700000001246715593,2025-10-18T16:45:00.000000,Water Still,Soft Drinks,1.88,1.88,1,0.37000000,Eat In,Other
Trafford - Zara,700000001246720735,2025-10-18T16:46:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246726863,2025-10-18T16:47:00.000000,Snowberry,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246728728,2025-10-18T16:47:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246741556,2025-10-18T16:47:00.000000,Nutella Crepe,Crepes,7.92,7.92,1,1.58000000,Eat In,Other
Trafford - Zara,700000001246743201,2025-10-18T16:49:00.000000,Small Cone,Gelato Small,8.33,8.33,2,1.67000000,Eat In,Gelato
Trafford - Zara,700000001246741556,2025-10-18T16:47:00.000000,Add gelato scoop,Gelato,2.50,2.50,1,0.50000000,Eat In,Gelato
Trafford - Zara,700000001246741556,2025-10-18T16:47:00.000000,Classic Hot Chocolate,Hot Chocolate,4.58,4.58,1,0.92000000,Eat In,Other
Trafford - Zara,700000001246745061,2025-10-18T16:50:00.000000,Medium Cone,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Trafford - Zara,700000001246748183,2025-10-18T16:50:00.000000,Dubai Chocolate Sundae Shake,Shakes,10.50,10.50,1,0.00000000,Eat In,Other
Trafford - Zara,700000001246748183,2025-10-18T16:50:00.000000,Nutella Crepe,Crepes,5.42,5.42,1,1.08000000,Eat In,Other
Trafford - Zara,700000001246730429,2025-10-18T16:47:00.000000,Snowberry,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246730429,2025-10-18T16:47:00.000000,Diet Coke,Soft Drinks,2.46,2.46,1,0.49000000,Eat In,Other
Trafford - Zara,700000001246730429,2025-10-18T16:47:00.000000,Lotus Waffle,Waffles,5.42,5.42,1,1.08000000,Eat In,Other
Trafford - Zara,700000001246751093,2025-10-18T16:51:00.000000,Dubai Chocolate Stick,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Trafford - Zara,700000001246751891,2025-10-18T16:52:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246752333,2025-10-18T16:51:00.000000,Medium Cone,Gelato Medium,5.42,5.42,1,1.08000000,Eat In,Gelato
Trafford - Zara,700000001246771068,2025-10-18T16:55:00.000000,Strawberry Pot Base,,7.50,7.50,1,0.00000000,Eat In,Other
Trafford - Zara,700000001246771068,2025-10-18T16:55:00.000000,San Pel Limonata,Soft Drinks,2.46,2.46,1,0.49000000,Eat In,Other
Trafford - Zara,700000001246772864,2025-10-18T16:55:00.000000,Small Cup,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Trafford - Zara,700000001246772864,2025-10-18T16:55:00.000000,Small Cup,Gelato Small,5.00,5.00,1,1.00000000,Eat In,Gelato
Trafford - Zara,700000001246776767,2025-10-18T16:55:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246781302,2025-10-18T16:53:00.000000,Small Cup,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Trafford - Zara,700000001246781302,2025-10-18T16:53:00.000000,Pistachio Milk Cake,Warm Desserts,8.50,8.50,1,0.00000000,Eat In,Other
Trafford - Zara,700000001246782544,2025-10-18T16:57:00.000000,Medium Cup,Gelato Medium,10.00,10.00,2,2.00000000,Eat In,Gelato
Trafford - Zara,700000001246784214,2025-10-18T16:57:00.000000,Snowberry,Gelato Treats,11.67,11.67,2,2.33000000,Eat In,Gelato
Trafford - Zara,700000001246784214,2025-10-18T16:57:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246786734,2025-10-18T16:58:00.000000,Snowberry,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
Trafford - Zara,700000001246790939,2025-10-18T16:58:00.000000,Small Cone,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Trafford - Zara,700000001246791499,2025-10-18T16:59:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246791499,2025-10-18T16:59:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246791499,2025-10-18T16:59:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246791499,2025-10-18T16:59:00.000000,Snow Mango,Gelato Treats,5.83,0.00,1,0.00000000,Eat In,Gelato
Trafford - Zara,700000001246802576,2025-10-18T17:01:00.000000,Large Cup,Gelato Large,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246806226,2025-10-18T17:01:00.000000,Milkshake,Shakes,7.00,7.00,1,0.00000000,Eat In,Other
Trafford - Zara,700000001246816921,2025-10-18T17:01:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246819511,2025-10-18T17:01:00.000000,Medium Cone,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Trafford - Zara,700000001246819511,2025-10-18T17:01:00.000000,Small Cup,Gelato Small,4.58,4.58,1,0.92000000,Eat In,Gelato
Trafford - Zara,700000001246836921,2025-10-18T17:04:00.000000,Small Cone,Gelato Small,8.33,8.33,2,1.67000000,Eat In,Gelato
Trafford - Zara,700000001246836921,2025-10-18T17:04:00.000000,Small Cup,Gelato Small,4.17,4.17,1,0.83000000,Eat In,Gelato
Trafford - Zara,700000001246836921,2025-10-18T17:04:00.000000,Medium Cup,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Trafford - Zara,700000001246842975,2025-10-18T17:07:00.000000,Medium Cone,Gelato Medium,5.00,5.00,1,1.00000000,Eat In,Gelato
Trafford - Zara,700000001246842975,2025-10-18T17:07:00.000000,Medium Cup,Gelato Medium,10.00,10.00,2,2.00000000,Eat In,Gelato
Trafford - Zara,700000001246842975,2025-10-18T17:07:00.000000,Pistachio Milk Cake,Warm Desserts,8.50,8.50,1,0.00000000,Eat In,Other
Trafford - Zara,700000001246844345,2025-10-18T17:03:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246844345,2025-10-18T17:03:00.000000,San Pel Limonata,Soft Drinks,2.46,2.46,1,0.49000000,Eat In,Other
Trafford - Zara,700000001246847011,2025-10-18T17:08:00.000000,Snow Mango,Gelato Treats,5.83,5.83,1,1.17000000,Eat In,Gelato
Trafford - Zara,700000001246847011,2025-10-18T17:08:00.000000,Dubai Chocolate Stick,Gelato Treats,6.25,6.25,1,1.25000000,Eat In,Gelato
