pattern,category,priority
HIJAZIALAA67,Other,10
HEAVENLY DESSERTS,Dining Out,10
H&M,Clothing,10
GROUPON,Shopping,10
GRETNA GREEN,Dining Out,10
GREGGS,Fast Food,10
GREENMAN SERVICE,Fuel/Petrol,10
GOOGLE,Tech Spend,10
GOOD TOTES,Shopping,10
GONLINE-WTR,Other,10
GLASGOW CENTRAL,Public Transport,10
GIFTCARDS GROUP,Gifts,10
GIFT OF KNOWLEDGE,Education,10
GFM*GOFUNDME,Charity,10
GENERAL STORE,Groceries,10
GELATO GUSTO,Dining Out,10
GEEK PHONE,Tech Spend,10
GDK PETERBOROUGH,Dining Out,10
FUWA FUWA,Dining Out,10
FP RETURN,Other,10
FOOD HALL,Dining Out,10
FLOWERS AND PLANTS,Gifts,10
FIRST GLASGOW,Public Transport,10
FEDEX,Other,10
FAIZAN HALAL MEAT,Groceries,10
F1,Entertainment,10
ESSO,Fuel/Petrol,10
ELIF,Groceries,10
EG ON THE MOVE,Public Transport,10
EDF ENERGY,Utilities,10
EASYJET,Airlines,10
DUPLICATE REVERSAL,Other,10
DUDLEYS,Entertainment,10
DNR 17,Dining Out,10
DIXY,Dining Out,10
DFF&V,Groceries,10
DE VERE BEAUMONT,Dining Out,10
DAVID LLOYD,Gym/Fitness,10
DAILY FRESH FRUIT,Groceries,10
CROWDJUSTICE,Charity,10
COTSWOLD WILDLIFE,Entertainment,10
COSTA,Coffee/Tea,10
COMPANY SEARCHES,Shopping,10
CO-OP,Groceries,10
CO OP MEMBERSHIP,Other,10
CLEARTHREAD ANALYT,Clearthread,10
CLAUDE,Tech Spend,10
CLARKSTON,Groceries,10
CLAPTON SERVICE,Fuel/Petrol,10
CITI-OLIVER'S,Dining Out,10
CHILOS BURGERS,Dining Out,10
CHICOS,Dining Out,10
CHICKEN SHOP,Dining Out,10
CHAIIWALA DALSTON,Dining Out,10
CDKEYS,Tech Spend,10
CARTRIDGE SAVE,Tech Spend,10
CARD FACTORY,Gifts,10
CANARY WHARF CARPA,Dining Out,10
CANARY WHARF,Other,10
CAIR FOUNDATION,Charity,10
CAFFE NERO,Coffee/Tea,10
BURGER KING,Fast Food,10
BUN & BASE,Dining Out,10
BULK,Health,10
BT GROUP,Internet,10
BRITISH GAS,Utilities,10
BRIM BURGERS,Dining Out,10
BP,Fuel/Petrol,10
BOOTS,Pharmacy,10
BOLT,Public Transport,10
BOLT,Public Transport,10
BMACH,Cash,10
BIKECLUB,Ayyub,10
BEIOGLU DOLAPDERE,Vacation,10
BAYER FOOD CENTRE,Groceries,10
BADDOW RD COOP,Groceries,10
AWS,Tech Spend,10
ASDA,Groceries,10
APPLE,Subscriptions,10
APCOA,Parking,10
ANTHROPIC,Tech Spend,10
AMAZON.CO.U,Shopping,10
AMAZON UK,Shopping,10
AMAZON PRIME,Subscriptions,10
AMAZON,Shopping,10
ALMAS,Dining Out,10
ALDI,Groceries,10
AAVO CHAI,Dining Out,10
365 RM (UK),Other,10
ZINATH COOP,Transfers,5
XERO UK,Clearthread,5
WOODFORD SERVICE,Car,5
UMMAH WELFARE TRUS,Charity,5
To A/C,Transfers,5
TRAVELODG,Vacation,5
TESCO FUEL,Fuel/Petrol,5
TALENT ANALYTICS,Clearthread,5
Starling,Clearthread,5
SYLVESTRIAN,Ayyub,5
QURANI MURKUZ,Charity,5
Q AHMAD,Car,5
Plumber,Home Maintenance,5
POST OFFICE,Other,5
"POST , OFFIC",Other,5
MIR AHMED ALIKHAN,Transfers,5
M HUSSAIN,Education,5
LAUNCHGOOD,Charity,5
JOHN LEWIS,Shopping,5
JAAFAR KARKOUR,Other,5
ISLAMIC RELIEF - L,Charity,5
IQBALNASIM,Charity,5
"HIGHAM HILL , MUSLIM",Charity,5
GOFNDME,Charity,5
GAZA,Charity,5
From A/C,Transfers,5
FOA PEACE IN PALESTINE,Charity,5
FAIZANEISLAM,Charity,5
ELEPHANT INSURANCE,Car,5
EBAY,Shopping,5
EAST REN CENTER,Charity,5
Cuppers limited,Health,5
Charity,Charity,5
CITIGROUP MAIN,Lunch,5
CHUFFED,Charity,5
BNA,Other,5
BIKE CLUB LTD,Ayyub,5
ASDA FUEL,Fuel/Petrol,5
ARGOS,Shopping,5
ARABIC-  STUDIO,Education,5
AMZN MKTP,Shopping,5
AMERICAN EXPRESS,Debt repayment,5
AMAZON CO UK,Shopping,5
AIRBNB,Vacation,5
"AHMED ALIKHAN , INVESTMENT",Transfers,5
